date,year,month,day,dayofweek,latitude,longitude,elevation,temperature_max,temperature_min,temperature_avg,humidity,wind_speed,wind_direction,pressure,rainfall_mm,weather_description,cloud_cover,visibility
2020-05-26,2020,5,26,1,-4.385826055337418,26.835443825179283,,-3.14,-14.32,-8.73,13,,,944.62,0,,,
2020-05-27,2020,5,27,2,20.50870815735497,82.64592164043319,,14.54,2.34,8.44,30,,,960.81,0,,,
2020-05-28,2020,5,28,3,45.13288566433605,163.35052016288603,,26.56,15.95,21.255,30,,,993.9,0,,,
2020-05-29,2020,5,29,4,-37.69889904785457,39.56927824965467,,22.41,8.42,15.415,43,,,981.78,0,,,
2020-05-30,2020,5,30,5,61.097378113848606,168.24277446710283,,31.67,18.67,25.17,60,,,946.66,0,,,
2020-05-31,2020,5,31,6,4.5132778730395415,-138.12415050821684,,-1.94,-7.44,-4.69,75,,,1035.59,0,,,
2020-06-01,2020,6,1,0,87.43608800060312,-73.4878939768263,,8.48,1.12,4.800000000000001,76,,,1005.82,0,,,
2020-06-02,2020,6,2,1,37.56881238227001,-45.92844233793022,,-12.64,-18.41,-15.525,23,,,965.98,0,,,
2020-06-03,2020,6,3,2,85.76357799237971,-135.20891999158172,,12.39,3.96,8.175,24,,,934.67,0,,,
2020-06-04,2020,6,4,3,-37.15131907447913,43.39067955570519,,44.47,34.96,39.715,77,,,1005.76,0,,,
2020-06-05,2020,6,5,4,59.17317097938727,-32.023931100470435,,41.82,36.25,39.035,37,,,995.98,0,,,
2020-06-06,2020,6,6,5,-67.714948276651,-100.45800113828936,,13.49,5.07,9.280000000000001,99,,,1018.53,0,,,
2020-06-07,2020,6,7,6,-7.336373182745447,7.378054422057346,,-4.44,-15.82,-10.13,84,,,1031.32,0,,,
2020-06-08,2020,6,8,0,-89.9113262222895,-93.99628229155547,,-7.08,-16.37,-11.725000000000001,20,,,1001.79,0,,,
2020-06-09,2020,6,9,1,61.67130008943124,-7.294053827895794,,31.29,22.25,26.77,82,,,1037.5,0,,,
2020-06-10,2020,6,10,2,-85.13630046511106,-151.39615369615984,,-0.31,-14.05,-7.180000000000001,75,,,942.02,0,,,
2020-06-11,2020,6,11,3,75.07105962504014,-135.6574389248478,,4.14,-3.78,0.17999999999999994,26,,,1014.25,0,,,
2020-06-12,2020,6,12,4,-16.316648608969842,-43.33410962706594,,36.01,24.6,30.305,78,,,991.79,0,,,
2020-06-13,2020,6,13,5,-1.826172041275143,11.13710354689863,,10.65,4.01,7.33,19,,,962.48,0,,,
2020-06-14,2020,6,14,6,14.20932980391906,144.08625690088513,,33.54,25.45,29.494999999999997,56,,,1007.2,0,,,
2020-06-15,2020,6,15,0,-61.625100577633305,-41.99324209961401,,13.63,0.32,6.9750000000000005,56,,,993.45,0,,,
2020-06-16,2020,6,16,1,71.00733809465027,-126.21191294913656,,35.3,20.94,28.119999999999997,88,,,1009.99,0,,,
2020-06-17,2020,6,17,2,0.968465484250416,177.81452515788374,,29.98,19.06,24.52,85,,,985.3,0,,,
2020-06-18,2020,6,18,3,25.36652787692246,66.12487488348543,,-10.52,-16.17,-13.345,80,,,1010.19,0,,,
2020-06-19,2020,6,19,4,-49.77975680856521,146.15289632714308,,14.83,2.61,8.72,28,,,1042.7,0,,,
2020-06-20,2020,6,20,5,-20.51789638818805,11.118543572749104,,-2.84,-16.34,-9.59,64,,,976.54,0,,,
2020-06-21,2020,6,21,6,-15.236219239153172,142.78683880920516,,-3.81,-14.17,-8.99,51,,,931.59,0,,,
2020-06-22,2020,6,22,0,62.57341008631104,-15.836067536086148,,-0.05,-5.64,-2.8449999999999998,78,,,951.71,0,,,
2020-06-23,2020,6,23,1,-33.4067476975187,125.06414954199886,,-7.85,-13.93,-10.89,64,,,965.69,0,,,
2020-06-24,2020,6,24,2,-2.342686649153208,-121.61891304522388,,16.9,5.94,11.42,10,,,998.35,0,,,
2020-06-25,2020,6,25,3,-67.0045802337459,-119.52339719084516,,-8.18,-19.01,-13.595,95,,,988.07,0,,,
2020-06-26,2020,6,26,4,89.4295662818871,-133.84113243415717,,14.92,0.67,7.795,19,,,981.78,0,,,
2020-06-27,2020,6,27,5,33.192112773654856,167.85037975990468,,4.93,-5.96,-0.5150000000000001,65,,,997.69,0,,,
2020-06-28,2020,6,28,6,62.96091593123438,-167.31775348394552,,-0.39,-9.24,-4.815,99,,,957.36,0,,,
