lat_cluster,lon_cluster,temperature_avg_min,temperature_avg_max,temperature_avg_mean,humidity_min,humidity_max,humidity_mean,temperature_max_max,temperature_min_min
-90.0,-6.0,24.31,24.31,24.31,44,44,44.0,28.39,20.23
-89.9,-94.0,-11.725,-11.725,-11.725,20,20,20.0,-7.08,-16.37
-89.8,-145.7,1.525,1.525,1.525,38,38,38.0,8.44,-5.39
-89.7,-45.6,29.515,29.515,29.515,35,35,35.0,35.88,23.15
-89.4,-169.3,34.815,34.815,34.815,66,66,66.0,38.82,30.81
-89.4,-120.7,41.375,41.375,41.375,74,74,74.0,46.9,35.85
-89.2,-161.4,36.205,36.205,36.205,70,70,70.0,43.24,29.17
-89.2,-139.4,44.105,44.105,44.105,26,26,26.0,48.5,39.71
-89.2,-30.8,10.44,10.44,10.44,51,51,51.0,11.85,9.03
-89.1,121.3,-1.765,-1.765,-1.765,63,63,63.0,1.23,-4.76
-88.8,129.9,38.540000000000006,38.540000000000006,38.540000000000006,73,73,73.0,42.45,34.63
-88.7,4.5,-4.5200000000000005,-4.5200000000000005,-4.5200000000000005,16,16,16.0,0.29,-9.33
-88.7,124.5,2.005,2.005,2.005,47,47,47.0,7.2,-3.19
-88.6,107.7,-10.05,-10.05,-10.05,89,89,89.0,-6.26,-13.84
-88.4,-20.2,12.095,12.095,12.095,24,24,24.0,14.51,9.68
-88.2,-141.8,-4.845,-4.845,-4.845,14,14,14.0,-0.49,-9.2
-88.2,88.5,26.61,26.61,26.61,93,93,93.0,31.46,21.76
-88.1,-58.7,23.625,23.625,23.625,41,41,41.0,27.82,19.43
-88.0,-147.6,8.475,8.475,8.475,12,12,12.0,12.24,4.71
-88.0,-108.7,28.215,28.215,28.215,92,92,92.0,31.07,25.36
-87.9,-91.4,0.7050000000000001,0.7050000000000001,0.7050000000000001,70,70,70.0,6.36,-4.95
-87.8,-21.5,8.055,8.055,8.055,45,45,45.0,12.11,4.0
-87.7,65.4,-11.62,-11.62,-11.62,86,86,86.0,-6.38,-16.86
-87.5,-112.0,4.8,4.8,4.8,71,71,71.0,8.62,0.98
-87.2,-51.0,10.695,10.695,10.695,92,92,92.0,14.18,7.21
-87.1,-165.5,24.845,24.845,24.845,22,22,22.0,28.86,20.83
-87.1,-163.3,26.265,26.265,26.265,43,43,43.0,29.53,23.0
-87.1,-134.0,12.77,12.77,12.77,88,88,88.0,17.49,8.05
-87.1,1.4,36.645,36.645,36.645,49,49,49.0,43.15,30.14
-87.1,74.9,26.3,26.3,26.3,11,11,11.0,29.74,22.86
-87.0,-96.2,39.955,39.955,39.955,54,54,54.0,45.21,34.7
-86.9,-147.6,40.795,40.795,40.795,36,36,36.0,46.74,34.85
-86.9,4.5,-7.354999999999999,-7.354999999999999,-7.354999999999999,57,57,57.0,-1.52,-13.19
-86.7,-64.4,-8.995000000000001,-8.995000000000001,-8.995000000000001,17,17,17.0,-6.84,-11.15
-86.7,80.9,-5.390000000000001,-5.390000000000001,-5.390000000000001,42,42,42.0,-3.5,-7.28
-86.6,-33.9,19.635,19.635,19.635,22,22,22.0,23.94,15.33
